Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
Drill: .035  Tool: 7  Feed: 197  Speed: 550
X 1165000  Y 1164000
X 1165000  Y 1179000
X 1216000  Y 1263000
X 1216000  Y 1253000
X 1217000  Y 1211000
X 1207000  Y 1211000
X 1184000  Y 1211000
X 1194000  Y 1211000
X 1212000  Y 1126000
X 1222000  Y 1126000
X 1212000  Y 1113000
X 1222000  Y 1113000
X 1232000  Y 1113000
X 1232000  Y 1126000

Drill: .039  Tool: 8  Feed: 197  Speed: 550
X 1217000  Y 1145000
X 1197000  Y 1149000
X 1217000  Y 1153000

Drill: .03937  Tool: 9  Feed: 197  Speed: 550
X 1089866  Y 1263015 X 1089866  Y 1253173
X 1038133  Y 1263015 X 1038133  Y 1253173
X 1161003  Y 1246921 X 1161003  Y 1242984
X 1098996  Y 1246921 X 1098996  Y 1242984

Drill: .12795  Tool: 10  Feed: 35  Speed: 794
X 1107500  Y 1256960
X 1152500  Y 1256960

Drill: .15748  Tool: 11  Feed: 35  Speed: 900
X 1017000  Y 1017000
X 1017000  Y 1283000
X 1333000  Y 1283000
X 1333000  Y 1017000

End of Listing
